"","headline","snippet","date","text_clean","keyword","framing_label"
"1","Torture, state terrorism and Ethiopia's transformation | Abiy Ahmed ...","Jun 23, 2018 ... Ethiopian Prime Minister Abiy Ahmed acknowledged torture by state security forces in a speech at the Ethiopian Parliament on June 18.","23 Jun 2018","torture state terrorism ethiopias transformation abiy ahmed jun ethiopian prime minister abiy ahmed acknowledged torture state security forces speech ethiopian parliament june ","Terrorism","State_Violence"
"2","HRW: Terrorism charges against Morales 'politically motivated' | Evo ...","Sep 11, 2020 ... The charges were traced to a single phone call with his former lawyer and chief of staff, during which Morales allegedly encouraged protests and ...","Last update 23 Nov 2020","hrw terrorism charges morales politically motivated evo sep charges traced single phone call former lawyer chief staff morales allegedly encouraged protests  ","Terrorism","Terrorism"
"3","Israel's violence is open terrorism — stop calling it 'clashes' | Israel ...","Apr 7, 2023 ... The state of Israel is committing unchecked barbarism against Palestinians and the Western corporate media has decided it all comes down to “clashes”.","Last update 7 Apr 2023","israels violence open terrorism — stop calling clashes israel apr state israel committing unchecked barbarism palestinians western corporate media decided comes “clashes”","Terrorism","Terrorism"
"4","Ethiopia PM: Security agencies committed 'terrorist acts' | Human ...","Jun 19, 2018 ... Ethiopia PM: Security agencies committed 'terrorist acts'. Abiy Ahmed said security institutions tortured citizens in order for government to ...","19 Jun 2018","ethiopia pm security agencies committed terrorist acts human jun ethiopia pm security agencies committed terrorist acts abiy ahmed said security institutions tortured citizens order government  ","Terrorism","Terrorism"
"5","'Terrorism': Israel-Hamas conflict has gone 'beyond war' says Pope ...","Nov 22, 2023 ... 'Terrorism': Israel-Hamas conflict has gone 'beyond war' says Pope Francis ... The violence unleashed by the state of Israel and Hamas fighters ...","Last update 22 Nov 2023","terrorism israelhamas conflict gone beyond war says pope nov terrorism israelhamas conflict gone beyond war says pope francis violence unleashed state israel hamas fighters ","Terrorism","Terrorism"
"6","HRW: Saudi terrorism is killing people in Yemen | GCC News | Al ...","Jul 24, 2017 ... Speakers at conference in Doha question Saudi-led group's accusation that Qatar is funding terrorism.","24 Jul 2017","hrw saudi terrorism killing people yemen gcc news al jul speakers conference doha question saudiled groups accusation qatar funding terror","Terrorism","Terrorism"
"7","What is terrorism? | Opinions | Al Jazeera","Apr 17, 2013 ... Terrorism is a crime meant to terrorise. We know what these kinds of crimes are: they are the kind that make us afraid to send our children to school, like ...","17 Apr 2013"," terrorism opinions al jazeera apr terrorism crime meant terrorise know kinds crimes kind make us afraid send children school like ","Terrorism","Terrorism"
"8","Tanzanian opposition leader to face 'terrorism' charges: Party | News ...","Jul 22, 2021 ... Tanzanian opposition leader to face 'terrorism' charges: Party. Chadema chairman Freeman Mbowe and 15 other members were rounded up in a ...","22 Jul 2021","tanzanian opposition leader face terrorism charges party news jul tanzanian opposition leader face terrorism charges party chadema chairman freeman mbowe members rounded  ","Terrorism","Terrorism"
"9","Crackdown as HK security chief warns of growing 'terrorism' | Hong ...","May 25, 2020 ... Hong Kong's security chief on Monday warned “terrorism” was growing in the city as the local government rallied behind Beijing's plan to impose ...","Last update 25 May 2020","crackdown hk security chief warns growing terrorism hong may hong kongs security chief monday warned “terrorism” growing city local government rallied behind beijings plan impose ","Terrorism","State_Violence"
"10","'Hotel Rwanda' hero given 25-year sentence in 'terrorism' case ...","Sep 20, 2021 ... Paul Rusesabagina – a one-time hotel manager portrayed as a hero in a Hollywood film about the nation's 1994 genocide – was found guilty of ...","Last update 20 Sep 2021","hotel rwanda hero given year sentence terrorism case sep paul rusesabagina – onetime hotel manager portrayed hero hollywood film nations genocide – found guilty  ","Terrorism","Terrorism"
"11","The dawning of hydro-terrorism | ISIL/ISIS | Al Jazeera","Jun 19, 2015 ... The role of water in conflict in the Middle East has existed since time immemorial, but ISIL has used it to such an effect that it deserves ...","19 Jun 2015"," dawning hydroterrorism isilisis al jazeera jun role water conflict middle east existed since time immemorial isil used effect deserves ","Terrorism","Terrorism"
