"","country","gti_score","ml_predicted_score","gti_rank","ml_rank","rank_difference"
"1","Afghanistan",6.43685956917554,4.72884425529643,2,1,1
"2","Iraq",9.75629305776365,4.72235616435352,1,2,-1
"3","Pakistan",4.1455333342196,4.19761478500083,3,3,0
"4","El Salvador",3.09516189215161,3.05860747190428,5,4,1
"5","India",3.44921292682342,3.01215562610749,4,5,-1
"6","Syria",2.16574545560324,2.78005733283251,7,6,1
"7","Nigeria",2.2869699214808,2.2042262092659,6,7,-1
"8","Russia",1.47551261783187,2.08466429874272,14,8,6
"9","Philippines",2.10375007344142,1.96017705924538,8,9,-1
"10","Colombia",1.86754096479286,1.85337213201949,9,10,-1
"11","Yemen",1.64760593155734,1.80514323202536,12,11,1
"12","Somalia",1.73849448453621,1.77760686943837,11,12,-1
"13","Peru",1.19410603409608,1.73434503668218,18,13,5
"14","Sri Lanka",1.74099053697146,1.72364902843096,10,14,-4
"15","United States",1.40042872020411,1.44344428661976,15,15,0
"16","Algeria",1.37623820178272,1.43972404803967,16,16,0
"17","Turkey",1.47879540424334,1.42481640062365,13,17,-4
"18","Libya",1.01769043974147,1.26274052367083,26,18,8
"19","United Kingdom",1.17072139972676,1.20912921177609,19,19,0
"20","Egypt",1.05359185544138,1.19683651527764,23,20,3
"21","Spain",1.0484708754389,1.15590146560676,24,21,3
"22","Nicaragua",1.1443742801282,1.14989734326883,20,22,-2
"23","Thailand",1.2001826339029,1.14230950246245,17,23,-6
"24","Lebanon",1.10673676508804,1.11524650006797,21,24,-3
"25","Nepal",1.08941062493569,1.09056178045291,22,25,-3
"26","Ethiopia",1.03650794795493,1.02213284761186,25,26,-1
"27","Bangladesh",0.871341870372262,0.938148436357201,31,27,4
"28","Israel",0.921254860676951,0.913262647706651,28,28,0
"29","West Bank and Gaza Strip",0.928947950712527,0.902311940645538,27,29,-2
"30","France",0.916880343970237,0.860909128837657,29,30,-1
"31","Guatemala",0.665041455455235,0.78682393379362,53,31,22
"32","Ukraine",0.843458775631,0.778507110419919,32,32,0
"33","Angola",0.743467613849067,0.774203394340792,41,33,8
"34","Iran",0.755272641745942,0.766535957336823,38,34,4
"35","Japan",0.703759947549726,0.761284827737426,47,35,12
"36","Uganda",0.78279218860731,0.754273070627683,36,36,0
